"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM227B",3.9587318334533e-07,0.394219897369594,0.852,0.436,0.00418200430886007,"1","FAM227B"
"CCT4",3.95895006999325e-07,0.44564152548827,1,0.977,0.00418223485394087,"1","CCT4"
"WDPCP",3.97488648218314e-07,0.794593984781802,0.909,0.624,0.00419907007977827,"1","WDPCP"
"ZNF106",3.98391891698324e-07,0.523810772456131,1,0.936,0.0042086119439011,"1","ZNF106"
"TRIB1",4.00994742077998e-07,0.50336170284218,0.977,0.661,0.00423610845531197,"1","TRIB1"
"NUP35",4.01893005319565e-07,0.687251148745457,0.92,0.573,0.00424559770819588,"1","NUP35"
"CEP192",4.02750934380691e-07,0.485572848290421,0.909,0.546,0.00425466087079762,"1","CEP192"
"TIMCC",4.04405420928455e-07,0.44551950309705,0.989,0.867,0.0042721388666882,"1","TIMCC"
"SCLY",4.07831915127943e-07,0.471073402106378,0.818,0.427,0.00430833635141159,"1","SCLY"
"MRPL55",4.07930451196137e-07,0.598485523983062,1,0.972,0.00430937728643599,"1","MRPL55"
"ZNF444",4.10131971717576e-07,0.416021790564891,0.943,0.592,0.00433263414922447,"1","ZNF444"
"NPHP3-ACAD11",4.11449387893725e-07,0.658851298675472,0.875,0.546,0.00434655133370931,"1","NPHP3-ACAD11"
"NEK4",4.120614065517e-07,0.40824615252368,0.966,0.674,0.00435301669881216,"1","NEK4"
"WWP1",4.12108860814442e-07,0.615007155942389,0.966,0.853,0.00435351800564376,"1","WWP1"
"ZNF354A",4.12112391545705e-07,0.461543873073504,0.909,0.546,0.00435355530428883,"1","ZNF354A"
"MOGS",4.17691265575115e-07,0.470088458759069,0.955,0.633,0.00441249052953552,"1","MOGS"
"FPGT",4.18765049747805e-07,0.285462503045868,0.852,0.417,0.00442383398553581,"1","FPGT"
"EEF2K",4.19784716765292e-07,0.28926392426226,0.92,0.642,0.00443460574790855,"1","EEF2K"
"TST",4.21125612604101e-07,0.454085959128165,0.943,0.546,0.00444877097154972,"1","TST"
"NIT2",4.22851849979367e-07,0.567633986973171,1,0.876,0.00446700694318203,"1","NIT2"
"AMN1",4.22920242382219e-07,0.389770494023359,0.807,0.404,0.00446772944052576,"1","AMN1"
"PPP4R3B",4.23980579533634e-07,0.466906419117435,0.989,0.922,0.00447893084219331,"1","PPP4R3B"
"DIAPH3",4.26184668222973e-07,0.407498894569835,0.989,0.615,0.00450221483510749,"1","DIAPH3"
"MLLT1",4.27858738216713e-07,0.554051968531728,0.92,0.702,0.00451989971052136,"1","MLLT1"
"THUMPD1",4.28766049997975e-07,0.492423741794631,1,0.917,0.00452948455217861,"1","THUMPD1"
"LYPD1",4.29521199496463e-07,0.588673955933676,0.795,0.385,0.00453746195148064,"1","LYPD1"
"ZNF584",4.33431531776662e-07,0.413787025105646,0.875,0.5,0.00457877070168866,"1","ZNF584"
"TULP4",4.33668892130257e-07,0.589119366457354,0.989,0.862,0.00458127817646403,"1","TULP4"
