"gene","logFC_hyp","logFC_circ","score"
"ZNF354A",1.58301002785378,0.304777706880383,1.88778773473416
"KYAT3",1.58717863527167,0.298947752294698,1.88612638756637
"FUT2",1.16478402348945,0.71932606545695,1.8841100889464
"DNAH14",1.65706649888323,0.22639065699545,1.88345715587868
"LOXL1",-1.67361353613272,-0.201560575036909,1.87517411116963
"RAPGEF5",1.43526987306961,0.439836405093096,1.87510627816271
"RNF144A",-1.38766763245322,-0.487383355389699,1.87505098784292
"CYFIP2",1.67807708884876,0.196756780999948,1.87483386984871
"ENKD1",-1.54590508975786,-0.328250575868212,1.87415566562607
"THADA",1.44783363657791,0.425409965764361,1.87324360234228
"PPP1R9A",1.38861805535802,0.483871468397771,1.87248952375579
"SERPINA5",1.60825284005355,0.259804176916118,1.86805701696967
"CCDC120",1.75405231310817,0.104225311724328,1.85827762483249
"ARID5B",1.41639512655647,0.437235985353135,1.8536311119096
"ZRANB1",1.15927433651095,0.69338231867472,1.85265665518566
"CD164",1.64935329730878,0.201978497779576,1.85133179508836
"DAPK2",1.06217522042668,0.786447573707087,1.84862279413377
"P3R3URF-PIK3R3",1.23732683279825,0.610438714081394,1.84776554687965
"ATP9A",1.58558550692079,0.261871375565013,1.8474568824858
"ZYG11A",1.4486891559406,0.395748418527062,1.84443757446766
"SLC41A2",1.65520630877128,0.187276582096314,1.84248289086759
"TSNAXIP1",-1.81702373489891,-0.0197905346173148,1.83681426951622
"XRRA1",1.55005113985182,0.286536458381322,1.83658759823314
"NEK5",1.03108629387385,0.805166810607319,1.83625310448117
"TRIM52",1.56709101025026,0.267760119858818,1.83485113010907
"SDCBP2",1.1651072884815,0.668108329962242,1.83321561844374
"NUDT18",-1.42300371691278,-0.406623773176257,1.82962749008903
"TARBP1",1.35467337573173,0.470072864815752,1.82474624054749
"MAPKBP1",-1.56673351466407,-0.256604592571796,1.82333810723587
"BACE2",1.51909867572252,0.303895030934626,1.82299370665715
"SESN1",1.71961551542607,0.101232239837534,1.8208477552636
"SLC25A53",1.50073125447919,0.318242577034405,1.81897383151359
"ATL1",0.944020898659491,0.873437626954759,1.81745852561425
"AHDC1",-1.13792622358824,-0.676396817048476,1.81432304063672
"RNF123",-1.29256600913364,-0.52122356284939,1.81378957198303
"SLC16A1",-1.63686938656857,-0.17591049359155,1.81277988016011
"TRIB3",1.59853085328259,0.212953419331885,1.81148427261448
"ERBB3",1.62753508124957,0.182624448623042,1.81015952987262
"CREBBP",1.46232325843263,0.345202247613777,1.80752550604641
"DOCK9",1.63353734854234,0.173628183462093,1.80716553200444
"NBEAL2",1.52664497519001,0.279937406010336,1.80658238120035
"MFHAS1",1.33523731429072,0.47028063384629,1.80551794813701
"DDX51",-1.58865731268835,-0.216574658076385,1.80523197076473
"MB21D2",1.335429250589,0.469502078163361,1.80493132875237
