"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0134029854697694,1.35883889088222,1,1,1,"EEF2K"
0.0134029854697694,-0.529424072177667,1,1,1,"FKBP2"
0.0134029854697694,0.906248306721247,1,1,1,"GNPTG"
0.0134029854697694,-0.83674967972144,1,1,1,"HNRNPH3"
0.0134029854697694,-0.966400836984614,1,1,1,"KDSR"
0.0134029854697694,1.52369188577963,1,1,1,"MIPOL1"
0.0134029854697694,-1.05605105039555,1,1,1,"MRPL23"
0.0134029854697694,1.58914454551957,1,1,1,"NF1"
0.0134029854697694,0.639367653556612,1,1,1,"PGK1"
0.0134029854697694,-0.61721422539537,1,1,1,"PSMB7"
0.0134029854697694,0.840352517152719,1,1,1,"SCAMP4"
0.0134029854697694,0.65211706591964,1,1,1,"SSR4"
0.0134029854697694,-1.07568497982486,1,1,1,"TRNAU1AP"
0.0134029854697694,0.985830176339074,1,1,1,"TSC22D3"
0.0134029854697694,0.95456441870417,1,1,1,"TTC3"
0.0134029854697694,1.11800110332215,1,1,1,"ZNF605"
0.013602060338942,2.80372360278875,0.929,0.688,1,"TFR2"
0.0144418055849956,-2.51527910318881,0.429,0.812,1,"STIMATE"
0.0146146672105983,-1.37045035237905,0.429,0.875,1,"CEP20"
0.014686843024996,1.17663823397767,1,0.75,1,"LMBRD1"
0.0148567202466876,1.10561120001552,0.929,0.562,1,"TTC13"
0.0149649289562312,1.41639512655647,1,0.875,1,"ARID5B"
0.0149649289562312,2.11694476037559,1,0.875,1,"SLC12A2"
0.0150039049962463,1.49318763842663,0.857,0.5,1,"CNIH3"
0.0151630823735021,1.29763564730473,1,0.812,1,"HIPK1"
0.0151630823735021,1.30939202280303,1,0.812,1,"MORN1"
0.0151630823735021,2.18190693978955,0.929,0.875,1,"CTSS"
0.0151630823735021,1.13425848139021,0.929,0.875,1,"IVNS1ABP"
0.0151966534792459,-0.155911364918451,0.929,1,1,"TBC1D24"
0.0151966534792459,1.01829028713992,1,0.938,1,"RXYLT1"
0.0151966534792459,2.23479279795977,1,0.938,1,"SOX4"
0.0151966534792459,0.789205042229361,1,0.938,1,"WDR20"
0.0151966534792459,1.64723608698141,1,0.938,1,"ZNF675"
0.0151966534792459,0.703014602564034,1,1,1,"ADH5"
0.0151966534792459,0.753505728437459,1,1,1,"ADNP"
0.0151966534792459,1.06862693659068,1,1,1,"ERGIC1"
0.0151966534792459,1.04303714358628,1,1,1,"HGSNAT"
0.0151966534792459,-0.794883152983559,1,1,1,"MLX"
0.0151966534792459,0.736762393529016,1,1,1,"NAPG"
0.0151966534792459,-1.09598490177346,1,1,1,"PPP1CC"
0.0151966534792459,0.122684764953891,1,1,1,"PSD4"
0.0151966534792459,-0.650176521761287,1,1,1,"PSMA7"
0.0151966534792459,1.84625653706431,1,1,1,"RAB29"
0.0151966534792459,-0.311184520172802,1,1,1,"RAC1"
0.0151966534792459,-0.709977581553539,1,1,1,"SPG7"
